id,name,pic,url
154,北汽制造,//car0.autoimg.cn/logo/brand/50/129672874565669471.jpg,//car.autohome.com.cn/pic/brand-154.html
39,宾利,//car0.autoimg.cn/logo/brand/50/130464274445786511.jpg,//car.autohome.com.cn/pic/brand-39.html
95,奔腾,//car0.autoimg.cn/logo/brand/50/129302879456406250.jpg,//car.autohome.com.cn/pic/brand-95.html
203,北汽幻速,//car0.autoimg.cn/logo/brand/50/130407024340800773.jpg,//car.autohome.com.cn/pic/brand-203.html
231,宝沃,//car3.autoimg.cn/cardfs/brand/50/g8/M07/59/AF/autohomecar__wKgHz1cQmS6AVk2fAAAPR-y4RTY926.jpg,//car.autohome.com.cn/pic/brand-231.html
208,北汽新能源,//car3.autoimg.cn/cardfs/brand/50/g15/M01/81/9E/autohomecar__wKgH1lgPHeKAM-CwAAAQJK-P3TM593.jpg,//car.autohome.com.cn/pic/brand-208.html
143,北汽威旺,//car0.autoimg.cn/logo/brand/50/130058250267573556.jpg,//car.autohome.com.cn/pic/brand-143.html
140,巴博斯,//car1.autoimg.cn/logo/brand/50/129609000250860000.jpg,//car.autohome.com.cn/pic/brand-140.html
37,布加迪,//car1.autoimg.cn/logo/brand/50/129302240538807500.jpg,//car.autohome.com.cn/pic/brand-37.html
271,比速汽车,//car2.autoimg.cn/cardfs/brand/50/g19/M06/78/7A/autohomecar__wKgFWFgkFtSASB9gAAAQGh0uHwI409.jpg,//car.autohome.com.cn/pic/brand-271.html
301,北汽道达,//car3.autoimg.cn/cardfs/brand/50/g19/M15/07/56/autohomecar__wKjBxFmJeCSAbM8hAAANkZfkPuA362.jpg,//car.autohome.com.cn/pic/brand-301.html
76,长安,//car1.autoimg.cn/logo/brand/50/130626666565626923.jpg,//car.autohome.com.cn/pic/brand-76.html
77,长城,//car2.autoimg.cn/cardfs/brand/50/g17/M08/20/28/autohomecar__wKgH51aA6EKAZFHkAAAKJtLdnDg318.jpg,//car.autohome.com.cn/pic/brand-77.html
163,长安欧尚,//car3.autoimg.cn/cardfs/brand/50/g22/M11/1E/F1/autohomecar__wKjBwVlIigyAVIuOAAAQxxG4Hq8816.jpg,//car.autohome.com.cn/pic/brand-163.html
79,昌河,//car3.autoimg.cn/cardfs/brand/50/g16/M0A/B8/A0/autohomecar__wKjBx1dzlk6AbnwfAAAKReqo2Kk929.jpg,//car.autohome.com.cn/pic/brand-79.html
196,成功汽车,//car1.autoimg.cn/logo/brand/50/130320044308933666.jpg,//car.autohome.com.cn/pic/brand-196.html
294,长安轻型车,//car3.autoimg.cn/cardfs/brand/50/g5/M01/C2/E5/autohomecar__wKjB0lk1BiuAbcyxAAANFp7uMx0785.jpg,//car.autohome.com.cn/pic/brand-294.html
299,长安跨越,//car3.autoimg.cn/cardfs/brand/50/g8/M0D/2A/03/autohomecar__wKgHz1mHy2eAey6nAAARa2buUu4623.jpg,//car.autohome.com.cn/pic/brand-299.html
189,Caterham,//car0.autoimg.cn/logo/brand/50/130242926581895295.jpg,//car.autohome.com.cn/pic/brand-189.html
264,长江EV,//car2.autoimg.cn/cardfs/brand/50/g9/M13/58/E6/autohomecar__wKgH0FcTK4KAa_5VAAAHE1w2R78120.jpg,//car.autohome.com.cn/pic/brand-264.html
70,沃尔沃,//car0.autoimg.cn/logo/brand/50/130604219163959092.gif,//car.autohome.com.cn/pic/brand-70.html
